"Weeds" "Moist" "Days"
"1" 1 80 215
"2" 2 2 5
"3" 0 17 29
"4" 1 16 15
"5" 0 5 2
"6" 0 44 59
"7" 7 83 368
"8" 5 88 42
"9" 9 88 64
"10" 8 89 43
"11" 1 92 210
"12" 6 91 71
"13" 6 83 200
"14" 2 93 551
"15" 1 86 586
"16" 13 85 316
"17" 3 89 398
"18" 0 3 3
"19" 0 80 411
"20" 0 14 49
"21" 0 11 6
"22" 3 92 357
"23" 1 88 105
"24" 3 87 212
"25" 4 87 675
"26" 1 29 10
"27" 5 90 551
"28" 0 0 0
"29" 2 87 30
"30" 0 8 10
"31" 0 78 320
"32" 0 77 50
"33" 0 52 78
"34" 1 7 3
"35" 11 86 88
"36" 1 34 49
"37" 0 1 4
"38" 3 93 478
"39" 1 19 31
"40" 0 9 8
"41" 1 46 30
"42" 0 24 57
"43" 11 90 548
"44" 0 86 133
"45" 0 89 60
